date_key,sale_date,sale_year,sale_month,sale_quarter,weekday
664,2024-10-29,2024,10,4,Tuesday
665,2023-07-06,2023,7,3,Thursday
666,2024-03-17,2024,3,1,Sunday
667,2023-04-22,2023,4,2,Saturday
668,2023-11-19,2023,11,4,Sunday
669,2024-10-23,2024,10,4,Wednesday
670,2023-02-16,2023,2,1,Thursday
671,2023-05-17,2023,5,2,Wednesday
672,2023-01-30,2023,1,1,Monday
673,2024-01-22,2024,1,1,Monday
674,2023-05-31,2023,5,2,Wednesday
675,2023-04-29,2023,4,2,Saturday
676,2023-05-01,2023,5,2,Monday
677,2023-01-17,2023,1,1,Tuesday
678,2024-02-12,2024,2,1,Monday
679,2023-06-23,2023,6,2,Friday
680,2024-06-03,2024,6,2,Monday
681,2024-07-09,2024,7,3,Tuesday
682,2023-06-21,2023,6,2,Wednesday
683,2024-09-15,2024,9,3,Sunday
684,2024-02-09,2024,2,1,Friday
685,2024-01-14,2024,1,1,Sunday
686,2023-12-28,2023,12,4,Thursday
687,2023-11-30,2023,11,4,Thursday
688,2023-10-04,2023,10,4,Wednesday
689,2023-11-04,2023,11,4,Saturday
690,2024-09-13,2024,9,3,Friday
691,2024-07-14,2024,7,3,Sunday
692,2023-02-01,2023,2,1,Wednesday
693,2023-02-07,2023,2,1,Tuesday
694,2024-10-09,2024,10,4,Wednesday
695,2023-03-22,2023,3,1,Wednesday
696,2024-05-19,2024,5,2,Sunday
697,2023-11-09,2023,11,4,Thursday
698,2024-11-26,2024,11,4,Tuesday
699,2024-05-12,2024,5,2,Sunday
700,2023-12-11,2023,12,4,Monday
701,2024-06-04,2024,6,2,Tuesday
702,2024-12-23,2024,12,4,Monday
703,2023-11-10,2023,11,4,Friday
704,2024-04-18,2024,4,2,Thursday
705,2023-01-22,2023,1,1,Sunday
706,2024-03-02,2024,3,1,Saturday
707,2023-03-11,2023,3,1,Saturday
708,2024-04-04,2024,4,2,Thursday
709,2024-06-17,2024,6,2,Monday
710,2024-04-08,2024,4,2,Monday
711,2023-07-16,2023,7,3,Sunday
712,2024-10-26,2024,10,4,Saturday
713,2023-11-03,2023,11,4,Friday
714,2024-04-23,2024,4,2,Tuesday
715,2023-07-31,2023,7,3,Monday
716,2023-05-03,2023,5,2,Wednesday
717,2024-02-25,2024,2,1,Sunday
718,2023-10-19,2023,10,4,Thursday
719,2023-02-08,2023,2,1,Wednesday
720,2024-09-05,2024,9,3,Thursday
721,2023-01-18,2023,1,1,Wednesday
722,2023-04-24,2023,4,2,Monday
723,2024-10-07,2024,10,4,Monday
724,2023-07-02,2023,7,3,Sunday
725,2023-04-28,2023,4,2,Friday
726,2024-04-05,2024,4,2,Friday
727,2023-05-04,2023,5,2,Thursday
728,2024-10-22,2024,10,4,Tuesday
729,2024-11-28,2024,11,4,Thursday
730,2023-09-13,2023,9,3,Wednesday
731,2024-02-17,2024,2,1,Saturday
